#Acq. time (s)=	20
#Accumulations=	8
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 17:01
#Acquired=	12.05.2023 17:01:16
1991	742.885
1992.47	740.614
1993.95	729.2
1995.42	735.214
1996.89	731.515
1998.37	743.529
1999.84	738.687
2001.31	736.987
2002.78	727.288
2004.25	733.588
2005.73	739.888
2007.2	720.475
2008.67	732.489
2010.14	737.647
2011.61	735.09
2013.08	738.533
2014.55	739.405
2016.02	739.42
2017.49	752.292
2018.96	734.878
2020.42	740.607
2021.89	736.907
2023.36	745.779
2024.83	726.651
2026.3	716.38
2027.76	739.252
2029.23	732.409
2030.7	727.281
2032.16	739.01
2033.63	717.882
2035.09	727.039
2036.56	732.768
2038.03	752.211
2039.49	734.512
2040.96	718.527
2042.42	743.97
2043.88	741.127
2045.35	737.713
2046.81	737.442
2048.28	714.886
2049.74	720.615
2051.2	732.629
2052.67	746.644
2054.13	734.373
2055.59	727.816
2057.05	735.545
2058.51	735.846
2059.97	733.003
2061.43	729.589
2062.9	725.318
2064.36	715.619
2065.82	734.49
2067.28	728.505
2068.74	735.663
2070.2	736.534
2071.65	743.121
2073.11	735.421
2074.57	735.721
2076.03	723.736
2077.49	737.179
2078.95	730.908
2080.4	730.923
2081.86	729.509
2083.32	730.667
2084.78	722.11
2086.23	729.839
2087.69	730.996
2089.15	716.154
2090.6	723.026
2092.05	724.183
2093.51	725.055
2094.97	714.784
2096.42	726.227
2097.87	727.385
2099.33	731.971
2100.78	725.414
2102.24	728.286
2103.69	720.015
2105.14	727.173
2106.6	727.473
2108.05	701.488
2109.5	722.074
2110.95	734.66
2112.4	717.817
2113.86	723.261
2115.31	716.418
2116.76	724.719
2118.21	715.59
2119.66	715.605
2121.11	702.191
2122.56	717.92
2124.01	721.078
2125.46	722.807
2126.91	722.821
2128.35	714.265
2129.8	714.565
2131.25	708.58
2132.7	727.166
2134.15	705.752
2135.59	721.767
2137.04	718.638
2138.49	722.939
2139.94	718.096
2141.38	718.968
2142.83	717.84
2144.27	712.998
2145.72	711.012
2147.16	717.027
2148.61	716.47
2150.05	723.913
2151.5	715.071
2152.94	717.943
2154.39	716.529
2155.83	722.544
2157.27	719.13
2158.72	714.287
2160.16	715.159
2161.6	718.602
2163.05	717.188
2164.49	725.489
2165.93	725.789
2167.37	722.661
2168.81	721.819
2170.26	719.262
2171.7	717.562
2173.14	706.148
2174.58	717.02
2176.02	711.035
2177.46	728.192
