AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;ArmandoReye-2023-10-12--01-04-50
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:04:50 AM
Measurement_Finished;10/12/2023 1:06:02 AM
Measurement_Saved;10/12/2023 1:06:02 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
1134.00;28.66
1136.00;28.54
1138.00;20.54
1140.00;12.47
1142.00;18.93
1144.00;24.20
1146.00;14.77
1148.00;15.19
1150.00;13.85
1152.00;-4.59
1154.00;-17.83
1156.00;-14.69
1158.00;-17.60
1160.00;-11.92
1162.00;-11.06
1164.00;-15.71
1166.00;-23.77
1168.00;-26.17
1170.00;-30.55
1172.00;-37.58
1174.00;-38.98
1176.00;-37.04
1178.00;-35.01
1180.00;-41.75
1182.00;-45.40
1184.00;-39.73
1186.00;-55.14
1188.00;-58.07
1190.00;-42.04
1192.00;-30.63
1194.00;-22.12
1196.00;-26.58
1198.00;-33.61
1200.00;-27.18
1202.00;-21.55
1204.00;-16.99
1206.00;-4.13
1208.00;-5.25
1210.00;0.99
1212.00;17.98
1214.00;33.25
1216.00;22.06
1218.00;26.19
1220.00;39.65
1222.00;38.80
1224.00;47.55
1226.00;51.29
1228.00;47.21
1230.00;31.83
1232.00;55.56
1234.00;58.56
1236.00;65.19
1238.00;67.68
1240.00;59.75
1242.00;56.71
1244.00;67.62
1246.00;78.87
1248.00;77.11
1250.00;88.08
1252.00;89.90
1254.00;100.06
1256.00;108.41
1258.00;117.60
1260.00;121.15
1262.00;138.46
1264.00;149.91
1266.00;151.41
1268.00;160.43
1270.00;168.76
1272.00;167.17
1274.00;183.84
1276.00;194.37
1278.00;213.85
1280.00;222.42
1282.00;237.11
1284.00;245.42
1286.00;267.25
1288.00;281.67
1290.00;300.72
1292.00;307.84
1294.00;324.99
1296.00;347.61
1298.00;365.90
1300.00;385.18
1302.00;399.16
1304.00;409.78
1306.00;396.26
1308.00;400.09
1310.00;410.55
1312.00;402.17
1314.00;406.58
1316.00;418.41
1318.00;420.03
1320.00;426.18
1322.00;431.58
1324.00;428.19
1326.00;433.38
1328.00;450.85
1330.00;457.48
1332.00;452.21
1334.00;461.30
1336.00;455.34
1338.00;456.35
1340.00;464.04
1342.00;468.52
1344.00;481.76
1346.00;470.82
1348.00;463.33
1350.00;458.27
1352.00;451.64
1354.00;445.21
1356.00;429.85
1358.00;415.79
1360.00;411.45
1362.00;390.69
1364.00;408.20
1366.00;402.33
1368.00;392.87
1370.00;394.02
1372.00;388.17
1374.00;393.58
1376.00;387.79
1378.00;392.76
1380.00;397.46
1382.00;400.98
1384.00;378.55
1386.00;339.27
1388.00;288.74
1390.00;253.84
1392.00;212.87
1394.00;190.29
1396.00;178.11
1398.00;152.07
1400.00;149.05
1402.00;130.55
1404.00;117.17
1406.00;118.82
