AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
936.00;13.04
938.00;-6.73
940.00;17.57
942.00;18.11
944.00;16.89
946.00;0.61
948.00;10.19
950.00;16.60
952.00;25.53
954.00;24.04
956.00;5.44
958.00;8.98
960.00;6.71
962.00;-4.31
964.00;1.43
966.00;-7.31
968.00;-8.49
970.00;-9.85
972.00;-2.81
974.00;-10.44
976.00;-27.70
978.00;-22.06
980.00;-1.64
982.00;-16.77
984.00;4.60
986.00;-1.89
988.00;-0.05
990.00;8.53
992.00;-10.49
994.00;-9.44
996.00;-22.63
998.00;8.59
1000.00;1.55
1002.00;4.07
1004.00;-8.61
1006.00;-4.88
1008.00;-4.96
1010.00;-3.54
1012.00;-20.73
1014.00;2.59
1016.00;1.09
1018.00;9.24
1020.00;13.81
1022.00;3.11
1024.00;7.69
1026.00;4.13
1028.00;0.32
1030.00;-8.63
1032.00;-9.84
1034.00;1.47
1036.00;17.14
1038.00;23.67
1040.00;42.08
1042.00;40.84
1044.00;78.84
1046.00;91.60
1048.00;112.08
1050.00;119.04
1052.00;87.92
1054.00;52.66
1056.00;27.26
1058.00;21.89
1060.00;28.98
1062.00;13.12
1064.00;9.61
1066.00;0.71
1068.00;0.83
1070.00;-2.24
1072.00;-5.06
1074.00;-24.01
1076.00;-14.45
1078.00;-9.99
1080.00;-3.04
1082.00;1.43
1084.00;5.93
1086.00;3.20
1088.00;-1.58
1090.00;1.45
1092.00;-1.61
