#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	50...1300
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	50%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	CM
#Site=	11-05-23
#Title=	CO
#Remark=	ch1
#Date=	11.05.2023 16:27
#Acquired=	11.05.2023 16:27:32
951.088	32150
952.228	32105
953.369	32117
954.509	32198
955.649	32102
956.788	32033
957.927	32100
959.067	31890
960.207	31856
961.346	31879
962.484	31753
963.623	31746
964.761	31623
965.899	31789
967.037	31690
968.174	31596
969.312	31641
970.449	31653
971.587	31556
972.725	31640
973.862	31555
974.998	31458
976.135	31492
977.271	31452
978.407	31324
979.543	31103
980.679	31268
981.815	31120
982.949	31144
984.084	31059
985.219	30936
986.354	30983
987.489	31058
988.624	30855
989.758	30872
990.892	30756
992.026	30683
993.16	30559
994.294	30652
995.426	30550
996.559	30645
997.693	30467
998.826	30316
999.959	30404
1001.09	30342
1002.22	30461
1003.35	30193
1004.49	30140
1005.62	30221
1006.75	30159
1007.88	30290
1009.01	30024
1010.14	30072
1011.27	29927
1012.4	30001
1013.54	29938
1014.67	29901
1015.79	29858
1016.93	29986
1018.06	29848
1019.18	29822
1020.31	29778
1021.44	29827
1022.57	29688
1023.7	29776
1024.83	29713
1025.96	29733
1027.09	29718
1028.21	29494
1029.34	29574
1030.47	29632
1031.6	29617
1032.72	29490
1033.85	29461
1034.98	29493
1036.1	29498
1037.23	29509
1038.36	29449
1039.48	29310
1040.61	29370
1041.73	29576
1042.86	29404
1043.99	29413
1045.11	29455
1046.24	29157
1047.36	29154
1048.48	29311
1049.61	29385
1050.73	29286
1051.86	29072
1052.98	29173
1054.11	28952
1055.23	29042
1056.35	28927
1057.48	28927
1058.6	29054
1059.72	28832
1060.84	28924
1061.97	28680
1063.09	28557
1064.21	28659
1065.33	28579
1066.46	28622
1067.58	28500
1068.7	28532
1069.82	28360
1070.94	28400
1072.06	28408
1073.18	28389
1074.3	28273
1075.42	28240
1076.54	28199
1077.66	28122
1078.78	28060
1079.9	28031
1081.02	27966
1082.14	27937
1083.26	27728
1084.38	27798
1085.5	27676
1086.61	27621
1087.73	27675
1088.85	27350
1089.97	27646
1091.09	27473
1092.2	27335
1093.32	27236
1094.44	27287
1095.55	27110
1096.67	27075
1097.79	27005
1098.9	27036
1100.02	26934
1101.14	26878
1102.25	26892
1103.37	26846
1104.48	26753
1105.6	26665
1106.71	26744
1107.83	26792
1108.94	26490
1110.06	26705
1111.17	26486
1112.29	26595
1113.4	26485
1114.52	26427
1115.63	26337
1116.74	26228
1117.86	26272.3
1118.97	26159.7
1120.08	26346.1
1121.2	26265.4
1122.31	26115.8
1123.42	26153.1
1124.53	26248.5
1125.64	26217.8
1126.76	26150.2
1127.87	26165.5
1128.98	26119.9
1130.09	26096.2
1131.2	26092.6
1132.31	26056.9
1133.42	26076.3
1134.53	25887.6
1135.65	26065
1136.75	25981.3
1137.87	25911.7
1138.98	25906
1140.08	25941.4
1141.19	25856.7
1142.3	25809.1
1143.41	26065.4
1144.52	25701.8
1145.63	25789.1
1146.74	25805.5
1147.85	25916.8
1148.96	25783.2
1150.06	25752.5
1151.17	25844.9
1152.28	25856.2
1153.39	25698.9
1154.5	25858.7
1155.6	25931.4
1156.71	25515.1
1157.82	25798.2
1158.92	25679.4
1160.03	25681.7
1161.14	25621
1162.24	25564.1
1163.35	25623
1164.45	25555.4
1165.56	25563.2
1166.66	25426.2
1167.77	25403
1168.88	25394.2
1169.98	25260.1
1171.08	25312.4
1172.19	25314.1
1173.29	25271.8
1174.4	25276.5
1175.5	25319.2
1176.6	25107.9
1177.71	25168.7
1178.81	25053.3
1179.91	25021.1
1181.02	24823.8
1182.12	24869.2
1183.22	24927.5
1184.33	24839
1185.43	24707.3
1186.53	24805.2
1187.63	24716.3
1188.73	24690.5
1189.84	24770
1190.94	24596.1
1192.04	24550.3
1193.14	24448.6
1194.24	24541.8
1195.34	24407.3
1196.44	24264.2
1197.54	24291
1198.64	24337.9
1199.74	24257.6
1200.84	24120.5
1201.94	24001.8
1203.04	24033.7
1204.14	24025.7
1205.24	23969
1206.34	23906.2
1207.44	23946.9
1208.54	23813.9
1209.63	23760.7
1210.73	23726.9
1211.83	23767.8
1212.93	23637.8
1214.03	23653.2
1215.12	23525.2
1216.22	23455.4
1217.32	23432.4
1218.42	23395.8
1219.51	23393.5
1220.61	23335.5
1221.71	23276.4
1222.8	23167.2
1223.9	23221.2
1224.99	23176.6
1226.09	23134.6
1227.18	23112.7
1228.28	23096.5
1229.38	23062.8
1230.47	22980.8
1231.57	22945.7
1232.66	23012.2
1233.75	22880.2
1234.85	22842
1235.94	22788.1
1237.04	22798
1238.13	22815.6
1239.22	22755.4
1240.32	22634.4
1241.41	22681.4
1242.5	22718.7
1243.6	22649.6
1244.69	22642.8
1245.78	22586.4
1246.87	22566
1247.97	22614.3
1249.06	22442
1250.15	22433.2
1251.24	22459.5
1252.34	22439.1
1253.43	22474.6
1254.52	22393.5
1255.61	22400.1
1256.7	22411.7
1257.79	22467
1258.88	22351.2
1259.97	22256.2
1261.06	22314.6
1262.15	22250.1
1263.24	22231
1264.33	22131
1265.18	22144.4
1266.28	22183.3
1267.37	22118.2
1268.47	22028.1
1269.56	22107
1270.65	21986.9
1271.75	22006.8
1272.84	22074.7
1273.94	21954.5
1275.03	22036.4
1276.12	21990.3
1277.21	21986.2
1278.31	21814.1
1279.4	22108
1280.49	21901.9
1281.58	21778.8
1282.68	21923.6
1283.77	21724.5
1284.86	21777.4
1285.95	21788.3
1287.04	21681.2
1288.13	21629.1
1289.23	21679
1290.32	21653.9
1291.41	21697.8
1292.5	21659.6
1293.59	21676.5
1294.68	21470.4
1295.77	21666.3
1296.86	21528.2
1297.95	21460.1
1299.04	21367
