#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	50...1300
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	CM
#Site=	11-05-23
#Title=	CO
#Remark=	ch1
#Date=	11.05.2023 16:29
#Acquired=	11.05.2023 16:29:28
212.468	55938
213.732	55985
214.997	56004
216.26	56400
217.523	56499
218.788	56916
220.051	56866
221.313	57265
222.577	57114
223.839	57501
225.101	57661
226.363	57745
227.626	58207
228.887	57972
230.149	58274
231.41	58432
232.672	58909
233.932	58951
235.193	59083
236.453	59204
237.714	59360
238.974	59392
240.233	59608
241.493	59792
242.752	59873
244.011	60198
245.271	60337
246.529	60166
247.788	60533
249.046	60453
250.304	60624
251.561	60662
252.819	60659
254.076	60939
255.333	60823
256.591	60960
257.848	60848
259.105	61151
260.361	61040
261.617	61153
262.873	61232
264.128	61318
265.384	61607
266.639	61472
267.894	61591
269.149	61714
270.404	61929
271.658	62115
272.912	61963
274.166	61876
275.42	62252
276.674	62384
277.927	62619
279.18	62311
280.433	62930
281.686	62951
282.939	63265
284.19	63553.5
285.442	63623.5
286.694	63572.5
287.946	63795.5
289.197	63920.5
290.449	63975.5
291.7	64095.5
292.951	64186.5
294.2	64189.5
295.451	64367.5
296.701	64436.5
297.951	64505.5
299.201	64459.5
300.451	64535
301.699	64535
302.949	64535
304.198	64535
305.447	64535
306.696	64535
307.943	64535
309.191	64535
310.439	64535
311.687	64535
312.933	64535
314.181	64535
315.428	64535
316.676	64535
317.921	64535
319.168	64535
320.414	64535
321.659	64535
322.905	64535
324.151	64535
325.396	64535
326.641	64535
327.887	64535
329.13	64535
330.375	64535
331.62	64535
332.863	64535
334.108	64535
335.35	64535
336.594	64535
337.837	64535
339.08	64535
340.323	64535
341.565	64535
342.808	64535
344.049	64535
345.292	64535
346.533	64535
347.775	64535
349.016	64535
350.257	64535
351.497	64535
352.739	64535
353.979	64535
355.219	64535
356.459	64535
357.699	64535
358.938	64535
360.178	64535
361.417	64535
362.657	64535
363.895	64535
365.133	64535
366.372	64535
367.609	64535
368.848	64535
370.085	64535
371.322	64535
372.561	64535
373.797	64535
375.033	64535
376.271	64535
377.507	64535
378.743	64535
379.98	64535
381.215	64535
382.45	64535
383.686	64535
384.921	64535
386.156	64535
387.39	64535
388.626	64535
389.86	64535
391.093	64535
392.327	64535
393.562	64535
394.795	64535
396.028	64535
397.261	64535
398.493	64535
399.727	64535
400.959	64535
402.191	64535
403.423	64535
404.655	64535
405.886	64535
407.119	64535
408.35	64535
409.581	64535
410.811	64535
412.042	64535
413.272	64535
414.502	64535
415.732	64535
416.963	64535
418.192	64535
419.421	64535
420.65	64535
421.879	64535
423.108	64535
424.336	64535
425.565	64535
426.793	64535
428.02	64535
429.248	64535
430.476	64535
431.703	64535
432.93	64535
434.157	64535
435.383	64535
436.61	64535
437.836	64535
439.062	64535
440.287	64535
441.512	64535
442.738	64535
443.963	64535
445.188	64535
446.413	64535
447.638	64535
448.863	64535
450.087	64535
451.31	64535
452.534	64535
453.757	64535
454.981	64535
456.204	64535
457.427	64535
458.649	64535
459.872	64535
461.094	64535
462.317	64535
463.539	64535
464.759	64535
465.981	64535
467.203	64535
468.424	64535
469.644	64535
470.865	64535
472.086	64535
473.306	64535
474.525	64535
475.746	64535
476.966	64535
478.184	64535
479.404	64535
480.623	64535
481.841	64535
483.06	64535
484.279	64535
485.496	64535
486.715	64535
487.932	64535
489.15	64535
490.368	64535
491.584	64535
492.802	64535
494.017	64535
495.235	64535
496.45	64535
497.667	64535
498.883	64535
500.098	64535
501.315	64535
502.529	64535
503.745	64535
504.959	64535
506.174	64535
507.388	64535
508.603	64535
509.817	64535
511.031	64535
512.244	64535
513.457	64535
514.671	64535
515.884	64535
517.097	64535
518.309	64535
519.523	64535
520.734	64535
521.946	64535
523.158	64535
524.37	64535
525.58	64535
526.793	64535
528.003	64535
529.213	64535
530.425	64535
531.635	64535
532.845	64535
534.056	64535
535.265	64535
536.474	64535
537.685	64535
538.893	64535
540.102	64535
541.31	64535
542.52	64535
543.728	64535
544.936	64535
546.143	64535
547.351	64535
548.56	64535
549.767	64535
550.973	64535
552.18	64535
553.387	64535
554.594	64535
555.8	64535
557.006	64535
558.212	64535
559.418	64535
560.623	64535
561.828	64535
563.035	64535
564.239	64535
565.444	64535
566.648	64535
567.853	64535
569.057	64535
570.26	64535
571.464	64535
572.667	64535
573.871	64535
575.074	64535
576.277	64535
577.479	64535
578.682	64535
579.884	64535
581.086	64535
582.288	64535
583.49	64535
584.691	64535
585.893	64535
587.094	64535
588.295	64535
589.496	64535
590.696	64535
591.897	64535
593.095	64535
594.296	64535
595.495	64535
596.695	64535
597.894	64535
599.094	64535
600.293	64535
601.49	64535
602.689	64535
603.888	64535
605.086	64535
606.284	64535
607.482	64535
608.678	64535
609.876	64535
611.073	64535
612.27	64535
613.466	64535
614.663	64535
615.859	64535
617.056	64535
618.251	64535
619.447	64535
620.643	64535
621.837	64535
623.032	64535
624.228	64535
625.423	64535
626.616	64535
627.811	64535
629.004	64535
630.199	64535
631.393	64535
632.585	64535
633.779	64535
634.973	64535
636.165	64535
637.358	64535
638.55	64535
639.743	64535
640.934	64535
642.126	64535
643.319	64535
644.509	64535
645.701	64535
646.892	64535
648.083	64535
649.273	64535
650.464	64535
651.654	64535
652.845	64535
654.034	64535
655.224	64535
656.413	64535
657.602	64535
658.792	64535
659.98	64535
661.169	64535
662.357	64535
663.547	64535
664.734	64535
665.921	64535
667.11	64535
668.297	64535
669.484	64535
670.672	64535
671.858	64535
673.044	64535
674.232	64535
675.418	64535
676.603	64535
677.79	64535
678.976	64535
680.161	64535
681.347	64535
682.532	64535
683.716	64535
684.901	64535
686.086	64535
687.27	64535
688.454	64535
689.638	64535
690.821	64535
692.006	64535
693.189	64535
694.372	64535
695.555	64535
696.737	64535
697.919	64535
699.103	64535
700.285	64535
701.467	64535
702.648	64535
703.83	64535
705.011	64535
706.192	64535
707.373	64535
708.553	64535
709.734	64535
710.916	64535
712.096	64535
713.276	64535
714.455	64535
715.635	64535
716.814	64535
717.994	64535
719.173	64535
720.351	64535
721.53	64535
722.709	64535
723.887	64535
725.065	64535
726.243	64535
727.419	64535
728.597	64535
729.774	64535
730.951	64535
732.128	64535
733.305	64535
734.482	64535
735.658	64535
736.834	64535
738.01	64535
739.185	64535
740.361	64535
741.536	64535
742.711	64535
743.887	64535
745.06	64535
746.235	64535
747.41	64535
748.584	64535
749.758	64535
750.931	64535
752.105	64535
753.278	64535
754.452	64535
755.624	64535
756.797	64535
757.97	64535
759.141	64535
760.314	64535
761.486	64535
762.659	64535
763.829	64535
765.001	64535
766.173	64535
767.343	64535
768.514	64535
769.684	64535
770.855	64535
772.026	64535
773.195	64535
774.365	64535
775.534	64535
776.704	64535
777.874	64535
779.042	64535
780.212	64535
781.38	64535
782.549	64535
783.716	64535
784.885	64535
786.052	64535
787.221	64535
788.388	64535
789.556	64535
790.722	64535
791.89	64535
793.056	64535
794.223	64535
795.389	64535
796.554	64535
797.721	64535
798.886	64535
800.053	64470.5
801.218	64535
802.382	64506.5
803.548	64417.5
804.712	64374.5
805.877	64284.5
807.042	64349.5
808.206	64367.5
809.369	64264.5
810.534	64313.5
811.697	64373.5
812.86	64148.5
814.025	64114.5
815.187	64227.5
816.35	64109.5
817.512	63919.5
818.676	64084.5
819.837	63996.5
820.999	64159.5
822.161	64003.5
823.324	64048.5
824.485	64008.5
825.646	64055.5
826.807	64118.5
827.967	64141.5
829.129	63883.5
830.29	64025.5
831.45	63878.5
832.61	63915.5
833.77	63841.5
834.929	63902.5
836.089	63851.5
837.249	63711.5
838.408	63844.5
839.567	63804.5
840.726	63739.5
841.885	63584
843.043	63714.5
844.201	63600
845.359	63401
846.517	63541
847.675	63704.5
848.832	63596
849.989	63325
851.146	63408.5
852.303	63127
853.46	63210
854.617	63115
855.773	63166
856.929	62985
858.085	63084
859.241	62883
860.397	62389
861.552	62535
862.708	62554
863.863	62530
865.018	62248
866.171	62328
867.326	62177
868.48	61870
869.634	62002
870.788	62124
871.942	62075
873.096	61956
874.248	61956
875.402	61686
876.555	61504
877.708	61376
878.861	61261
880.012	61161
881.164	60952
882.317	60532
883.469	60554
884.619	60380
885.771	60232
886.923	60133
888.074	59924
889.224	60028
890.375	59963
891.526	59774
892.675	59683
893.826	59398
894.976	59227
896.125	59211
897.275	59081
898.424	58902
899.573	59158
900.722	58870
901.871	58579
903.019	58598
904.168	58491
905.315	58344
906.464	58270
907.611	58159
908.759	58053
909.907	57886
911.054	57920
912.201	57678
913.348	57651
914.495	57637
915.641	57431
916.788	57502
917.933	57534
919.08	57251
920.225	57316
921.371	57193
922.516	57210
923.66	57201
924.806	56987
925.95	56792
927.096	56781.5
928.24	56771
929.383	56739
930.528	56832
931.671	56629
932.816	56508
933.959	56436
935.102	56434
936.246	56203
937.388	56335
938.53	56541
939.674	56420
940.816	56500
941.957	56094
943.099	55865
944.242	55812
945.383	56066
946.524	56000
947.665	55921
948.807	55791
949.947	55691
951.088	55664
952.228	55505
953.369	55939
954.509	55541
955.649	55323
956.788	55623
957.927	55398
959.067	55068
960.207	55127
961.346	55216
962.484	55324
963.623	55010
964.761	55013
965.899	54956
967.037	54855
968.174	54717
969.312	54711
970.449	54733
971.587	54664
972.725	54536
973.862	54649
974.998	54389
976.135	54294
977.271	54289
978.407	54090
979.543	54087
980.679	54220
981.815	53875
982.949	53734
984.084	53450
985.219	53547
986.354	53538
987.489	53433
988.624	53230
989.758	53225
990.892	53322
992.026	53026
993.16	53145
994.294	52825
995.426	52819
996.559	52692
997.693	52704
998.826	52665
999.959	52818
1001.09	52609
1002.22	52552
1003.35	52279
1004.49	52280
1005.62	52309
1006.75	52220
1007.88	52149
1009.01	51984
1010.14	52027
1011.27	51711
1012.4	51882
1013.54	51684
1014.67	51655
1015.79	51369
1016.93	51662
1018.06	51687
1019.18	51482
1020.31	51471
1021.44	51464
1022.57	51466
1023.7	51038
1024.83	51316
1025.96	51308
1027.09	51217
1028.21	51195
1029.34	51146
1030.47	51226
1031.6	51017
1032.72	51101
1033.85	50986
1034.98	50976
1036.1	50830
1037.23	51005
1038.36	50785
1039.48	50844
1040.61	50733
1041.73	50480
1042.86	50797
1043.99	50654
1045.11	50565
1046.24	50691
1047.36	50461
1048.48	50482
1049.61	50343
1050.73	50464
1051.86	50353
1052.98	49963
1054.11	50258
1055.23	49991
1056.35	49993
1057.48	49995
1058.6	50074
1059.72	49836
1060.84	49835
1061.97	49579
1063.09	49770
1064.21	49457
1065.33	49526
1066.46	49287
1067.58	49295
1068.7	49317
1069.82	48915
1070.94	49098
1072.06	48858
1073.18	49083
1074.3	48756
1075.42	48587
1076.54	48677
1077.66	48450
1078.78	48585
1079.9	48268
1081.02	48089
1082.14	48020
1083.26	48132
1084.38	47631
1085.5	47544
1086.61	47737
1087.73	47303
1088.85	47557
1089.97	47085
1091.09	47325
1092.2	47030
1093.32	46945
1094.44	46979
1095.55	46906
1096.67	46795
1097.79	46544
1098.9	46588
1100.02	46397
1101.14	46286
1102.25	46284
1103.37	46294
1104.48	46106
1105.6	46146
1106.71	45939
1107.83	45924
1108.94	45876
1110.06	45723
1111.17	45726
1112.29	45765
1113.4	45371
1114.52	45393
1115.63	45362
1116.74	45401
1117.86	44905.3
1118.97	45241.7
1120.08	45029
1121.2	44902.3
1122.31	44862.7
1123.42	45060
1124.53	44878.3
1125.64	44872.7
1126.76	44851
1127.87	44729.3
1128.98	44729.7
1130.09	44903
1131.2	44659.3
1132.31	44562.7
1133.42	44575
1134.53	44390.3
1135.65	44563.7
1136.75	44256
1137.87	44367.3
1138.98	44401.7
1140.08	44534
1141.19	44262.3
1142.3	44280.7
1143.41	44094
1144.52	44185.3
1145.63	44178.7
1146.74	43981
1147.85	43837.3
1148.96	43903.7
1150.06	43890
1151.17	43684.3
1152.28	43918.9
1153.39	43689.7
1154.5	43590.7
1155.6	43698.2
1156.71	43417.3
1157.82	43633.4
1158.92	43360
1160.03	43425.7
1161.14	43267.1
1162.24	43135.5
1163.35	43065.3
1164.45	43032.8
1165.56	43011.7
1166.66	43005
1167.77	42840.5
1168.88	42814.2
1169.98	42654
1171.08	42652.2
1172.19	42588.1
1173.29	42534.4
1174.4	42396.8
1175.5	42256.6
1176.6	42096.1
1177.71	42097.8
1178.81	42000.2
1179.91	41719.8
1181.02	41710.8
1182.12	41745.9
1183.22	41512.2
1184.33	41424.7
1185.43	41354.4
1186.53	41510.5
1187.63	41259.2
1188.73	41211.1
1189.84	41187.1
1190.94	40974.5
1192.04	40764.3
1193.14	40686.7
1194.24	40701.6
1195.34	40701.5
1196.44	40473.3
1197.54	40263.4
1198.64	40291.7
1199.74	40124.5
1200.84	39999.3
1201.94	39811.1
1203.04	39721.4
1204.14	39758
1205.24	39636.9
1206.34	39528.5
1207.44	39551.5
1208.54	39333.1
1209.63	39323.9
1210.73	39174.5
1211.83	39231.9
1212.93	39046.6
1214.03	38938.1
1215.12	38760.5
1216.22	38700.6
1217.32	38590.9
1218.42	38548
1219.51	38533.8
1220.61	38487.8
1221.71	38237.2
1222.8	38175
1223.9	38281.6
1224.99	38148.9
1226.09	38057.5
1227.18	37964.2
1228.28	37918.5
1229.38	37793.9
1230.47	37757.9
1231.57	37725.7
1232.66	37707.1
1233.75	37564
1234.85	37378.1
1235.94	37382.7
1237.04	37375.8
1238.13	37314.7
1239.22	37232
1240.32	37185.2
1241.41	37085.5
1242.5	37043.7
1243.6	37061.1
1244.69	37014.8
1245.78	36915.2
1246.87	36817.6
1247.97	36802.3
1249.06	36756.7
1250.15	36801.2
1251.24	36768.6
1252.34	36715.3
1253.43	36648.2
1254.52	36621.4
1255.61	36582.1
1256.7	36623
1257.79	36524.9
1258.88	36591.9
1259.97	36421.2
1261.06	36417.5
1262.15	36312.8
1263.24	36175.5
1264.33	36261.7
1265.18	36287.3
1266.28	36158.4
1267.37	36033.5
1268.47	35932.6
1269.56	36058.7
1270.65	36019.8
1271.75	35797.8
1272.84	35804.9
1273.94	35957
1275.03	35860.1
1276.12	35665.2
1277.21	35620.3
1278.31	35721.3
1279.4	35482.4
1280.49	35512.5
1281.58	35491.6
1282.68	35438.7
1283.77	35340.8
1284.86	35494.8
1285.95	35235.9
1287.04	35099
1288.13	35105.1
1289.23	35171.2
1290.32	35071.3
1291.41	35009.3
1292.5	35057.4
1293.59	34898.5
1294.68	34850.6
1295.77	34849.7
1296.86	34768.8
1297.95	34559.8
1299.04	34585.9
